N,Z,binding,A,binding_MeV,N_frontier,d
40,33,8689.6099,73,634.3415226999999,50.0,-10.0
43,28,8543.1564,71,606.5641043999999,43.8,-0.7999999999999972
80,61,8303.9405,141,1170.8556105000002,92.9,-12.900000000000006
117,86,7770.3437,203,1577.3797711000002,133.6,-16.599999999999994
127,86,7782.1824,213,1657.6048512,133.6,-6.599999999999994
21,28,7450.0,49,365.05,43.8,-22.799999999999997
51,36,8675.284,87,754.7497079999999,55.4,-4.399999999999999
70,51,8482.0574,121,1026.3289454,79.3,-9.299999999999997
48,37,8697.4416,85,739.2825359999999,57.4,-9.399999999999999
46,38,8677.5132,84,728.9111088,58.8,-12.799999999999997
38,27,8656.8848,65,562.697512,41.7,-3.700000000000003
99,74,8018.3337,173,1387.1717300999999,111.0,-12.0
95,64,8187.6177,159,1301.8312143,96.6,-1.5999999999999943
67,62,8023.0,129,1034.9669999999999,94.3,-27.299999999999997
91,61,8226.1293,152,1250.3716536,92.9,-1.9000000000000057
64,54,8374.9819,118,988.2478642,83.4,-19.400000000000006
130,85,7767.8627,215,1670.0904804999998,132.6,-2.5999999999999943
110,85,7748.0914,195,1510.877823,132.6,-22.599999999999994
55,46,8560.8644,101,864.6473043999999,72.7,-17.700000000000003
74,64,8112.0,138,1119.456,96.6,-22.599999999999994
57,47,8536.185,104,887.76324,73.0,-16.0
63,50,8506.8117,113,961.2697221,77.7,-14.700000000000003
2,4,4487.2478,6,26.923486800000003,8.7,-6.699999999999999
33,24,8663.3998,57,493.81378859999995,37.599999999999994,-4.599999999999994
114,86,7754.9111,200,1550.98222,133.6,-19.599999999999994
40,29,8695.2044,69,599.9691035999999,44.7,-4.700000000000003
12,12,8260.7103,24,198.25704720000004,21.7,-9.7
70,61,8163.0,131,1069.353,92.9,-22.900000000000006
14,13,8331.5533,27,224.95193909999998,23.4,-9.399999999999999
93,65,8189.1556,158,1293.8865847999998,97.6,-4.599999999999994
39,35,8583.5615,74,635.183551,53.4,-14.399999999999999
85,55,8314.3227,140,1164.005178,85.0,0.0
99,69,8114.9516,168,1363.3118688,100.9,-1.9000000000000057
8,13,6297.0,21,132.237,23.4,-15.399999999999999
72,63,8107.0,135,1094.445,94.6,-22.599999999999994
143,95,7555.5853,238,1798.2293014,148.0,-5.0
40,39,8416.7788,79,664.9255251999999,60.099999999999994,-20.099999999999994
79,51,8397.3641,130,1091.657333,79.3,-0.29999999999999716
56,48,8517.6232,104,885.8328127999999,74.0,-18.0
122,85,7813.9653,207,1617.4908171,132.6,-10.599999999999994
58,42,8604.6626,100,860.4662599999999,65.6,-7.599999999999994
117,89,7667.8538,206,1579.5778828,137.7,-20.69999999999999
82,53,8384.7609,135,1131.9427215,82.3,-0.29999999999999716
8,11,6937.8864,19,131.8198416,20.0,-12.0
77,67,8017.0977,144,1154.4620688,99.6,-22.599999999999994
146,101,7444.0,247,1838.668,154.2,-8.199999999999989
129,88,7726.9122,217,1676.7399474000001,135.8,-6.800000000000011
93,73,8004.9714,166,1328.8252524000002,109.3,-16.299999999999997
67,54,8403.8326,121,1016.8637445999999,83.4,-16.400000000000006
77,62,8243.0786,139,1145.7879254000002,94.3,-17.299999999999997
34,35,8344.9026,69,575.7982794,53.4,-19.4
156,108,7298.3762,264,1926.7713168,163.8,-7.800000000000011
47,32,8634.5089,79,682.1262031,48.7,-1.7000000000000028
96,70,8112.4591,166,1346.6682106,104.2,-8.200000000000003
133,91,7646.9612,224,1712.9193088,139.6,-6.599999999999994
127,87,7757.7393,214,1660.1562102,135.2,-8.199999999999989
96,77,7898.068,173,1366.3657640000001,115.7,-19.700000000000003
5,10,4868.7285,15,73.0309275,18.299999999999997,-13.299999999999997
9,9,7631.6383,18,137.3694894,16.6,-7.600000000000001
73,63,8122.0,136,1104.592,94.6,-21.599999999999994
65,44,8496.228,109,926.0888519999999,69.0,-4.0
76,57,8378.8415,133,1114.3859195,88.3,-12.299999999999997
107,85,7709.7283,192,1480.2678336,132.6,-25.599999999999994
64,50,8522.5671,114,971.5726493999999,77.7,-13.700000000000003
103,79,7887.2442,182,1435.4784444000002,119.0,-16.0
83,68,8104.8723,151,1223.8357173,100.9,-17.900000000000006
120,89,7695.8455,209,1608.4317095000001,137.7,-17.69999999999999
113,77,7947.7017,190,1510.0633229999999,115.7,-2.700000000000003
21,18,8562.5988,39,333.9413532,28.099999999999998,-7.099999999999998
119,85,7803.5522,204,1591.9246488,132.6,-13.599999999999994
146,98,7505.1373,244,1831.2535012,152.3,-6.300000000000011
63,58,8132.0,121,983.972,88.6,-25.599999999999994
58,53,8282.9343,111,919.4057073000001,82.3,-24.299999999999997
47,34,8685.9998,81,703.5659837999999,51.7,-4.700000000000003
62,41,8488.332,103,874.298196,64.5,-2.5
55,49,8435.238,104,877.264752,75.7,-20.700000000000003
14,18,7700.0089,32,246.40028479999998,28.099999999999998,-14.099999999999998
52,35,8605.9105,87,748.7142135,53.4,-1.3999999999999986
140,92,7611.8984,232,1765.9604288,142.9,-2.9000000000000057
31,34,8170.0,65,531.05,51.7,-20.700000000000003
25,24,8613.2777,49,422.0506073000001,37.599999999999994,-12.599999999999994
79,55,8398.647,134,1125.418698,85.0,-6.0
5,9,5285.2091,14,73.9929274,16.6,-11.600000000000001
153,100,7448.4712,253,1884.4632136,153.6,-0.5999999999999943
